"Strategies","1","2","3","4","5","6","7","8","9","10"
"baselineF1",0.4468,0.4475,0.4475,0.4468,0.4471,0.4472,0.4472,0.4471,0.447,0.4473
"baselineHL",0.3606,0.3602,0.3603,0.3605,0.36,0.3607,0.3607,0.3601,0.3609,0.3599
"baselineRL",0.4286,0.4294,0.4296,0.4284,0.4291,0.4288,0.4287,0.4293,0.4286,0.4294
"baselineSA",0.2134,0.2151,0.2155,0.213,0.2151,0.2134,0.2132,0.2153,0.2127,0.2158
"BR-C5.0",0.6466,0.6442,0.6374,0.6459,0.6496,0.6468,0.6494,0.6451,0.6405,0.6444
"BR-LR",0.6841,0.6827,0.6827,0.684,0.6859,0.6816,0.6822,0.6853,0.6825,0.6851
"BR-RF",0.7337,0.7328,0.7361,0.7362,0.7348,0.7316,0.734,0.7336,0.7334,0.7341
"BR-SVM",0.6838,0.6828,0.6825,0.684,0.6856,0.6811,0.6815,0.6854,0.6823,0.6855
"BR-XGB",0.7233,0.7174,0.7179,0.7226,0.7183,0.7167,0.7185,0.718,0.7195,0.7174
"BR+-C5.0",0.631,0.6354,0.6319,0.6412,0.6382,0.6374,0.6431,0.6307,0.6403,0.6372
"BR+-LR",0.6824,0.6792,0.6784,0.6819,0.6823,0.6779,0.6786,0.6823,0.6791,0.6814
"BR+-RF",0.7329,0.7293,0.7323,0.7357,0.7312,0.7291,0.73,0.7277,0.7296,0.7287
"BR+-SVM",0.682,0.6787,0.6797,0.6818,0.6827,0.6778,0.6773,0.6816,0.6791,0.6809
"BR+-XGB",0.7191,0.7158,0.7164,0.7195,0.7148,0.7129,0.7155,0.7153,0.7167,0.717
"CC-C5.0",0.6398,0.6396,0.6449,0.6419,0.6464,0.6402,0.6391,0.6483,0.6369,0.6472
"CC-LR",0.6842,0.6816,0.6819,0.6826,0.6855,0.6809,0.681,0.6864,0.682,0.6857
"CC-RF",0.7358,0.7333,0.7366,0.7387,0.7346,0.7335,0.7322,0.7336,0.734,0.7325
"CC-SVM",0.6847,0.681,0.6822,0.6826,0.6855,0.6811,0.6812,0.6862,0.6819,0.6856
"CC-XGB",0.7154,0.7136,0.7147,0.7186,0.7161,0.7113,0.7128,0.7157,0.7146,0.7173
"DBR-C5.0",0.6253,0.6272,0.628,0.6383,0.6335,0.6369,0.6405,0.6263,0.6364,0.632
"DBR-LR",0.6809,0.6797,0.6794,0.6811,0.6833,0.6766,0.6776,0.6822,0.679,0.681
"DBR-RF",0.7333,0.7295,0.7305,0.7344,0.7303,0.7279,0.729,0.7283,0.7294,0.7282
"DBR-SVM",0.6809,0.6793,0.6791,0.6811,0.6828,0.6768,0.6777,0.6824,0.6787,0.6818
"DBR-XGB",0.7195,0.7146,0.7156,0.7205,0.7165,0.7128,0.7156,0.7158,0.7157,0.7164
"EBR-C5.0",0.6973,0.6915,0.6932,0.6983,0.6934,0.6964,0.6962,0.695,0.6943,0.695
"EBR-LR",0.6875,0.6857,0.6851,0.686,0.6798,0.6853,0.6841,0.6841,0.6871,0.684
"EBR-RF",0.7354,0.7327,0.737,0.7364,0.7333,0.731,0.7319,0.7313,0.7331,0.7344
"EBR-SVM",0.6997,0.6969,0.6979,0.6987,0.698,0.6967,0.6973,0.6984,0.6976,0.6998
"EBR-XGB",0.7381,0.7352,0.7365,0.7429,0.7374,0.7377,0.7388,0.736,0.7393,0.7387
"ECC-C5.0",0.6963,0.693,0.6985,0.7014,0.699,0.698,0.6948,0.6938,0.6966,0.6985
"ECC-LR",0.6933,0.6854,0.6908,0.6879,0.6862,0.686,0.6882,0.6846,0.6924,0.6893
"ECC-RF",0.736,0.7343,0.737,0.7398,0.7354,0.7354,0.7335,0.7335,0.7355,0.7354
